	sample	group	count	readcount
154	MHH357	UHGG	9589463	14785647
155	MHH258	UHGG	9526465	14054253
156	MHS137	UHGG	14897661	24989344
157	MBH054	UHGG	11921507	18125962
158	MBH053	UHGG	22255354	30929554
159	MHH348	UHGG	15160206	24246642
160	MHH529	UHGG	20965882	32576995
161	MBS1124	UHGG	12312668	18492128
162	MHH595	UHGG	11184119	23314222
163	MHH606	UHGG	11612295	20341315
164	MBH093	UHGG	14380786	22720293
165	MHH553	UHGG	10761891	16904334
166	MHH574	UHGG	11980111	27315485
167	MBS1169	UHGG	9378886	14057274
168	MBS1149	UHGG	10267434	15398845
169	MHH589	UHGG	7585253	11810750
170	MHH373	UHGG	14127317	21042038
171	MBS1152	UHGG	9790167	13978876
172	MBH059	UHGG	5890175	7885159
173	MHS141	UHGG	8200755	14697200
174	MBH046	UHGG	12408023	17903733
175	MBH078	UHGG	38951715	61259587
176	MHH346	UHGG	22485978	32690512
177	MHH356	UHGG	15981936	24351955
178	MBS1143	UHGG	17660800	24137396
179	MBH091	UHGG	19559442	30078136
180	MHH266	UHGG	8715765	13746713
181	MBH056	UHGG	19487723	30152013
182	MHH552	UHGG	26365664	40145904
183	MHH622	UHGG	8199863	13499327
184	MHH597	UHGG	13129677	27936502
185	MHH384	UHGG	18952919	29481248
186	MBS1123	UHGG	20189241	32292326
187	MHH381	UHGG	13453580	20852550
188	MHH336	UHGG	8949056	12993987
189	MHH619	UHGG	8463255	15674579
190	MHH594	UHGG	14821156	23662064
191	MHH551	UHGG	15985566	26552493
192	MHH338	UHGG	14575829	20829680
193	MHH394	UHGG	8301601	12472306
194	MBH061	UHGG	11275914	15909368
195	MHH567	UHGG	10530089	15782924
196	MHH376	UHGG	11536099	18342744
197	MBS1160	UHGG	7218989	10406106
198	MHH383	UHGG	10088822	15046248
199	MHH335	UHGG	10075814	13990224
200	MBS1159	UHGG	16824074	26227196
201	MHH260	UHGG	12918094	19168330
202	MBH076	UHGG	70373714	102957321
203	MHS142	UHGG	6200945	9699945
204	MHH374	UHGG	8604909	12713689
205	MBS1142	UHGG	25593966	37713832
206	MBS1162	UHGG	22140520	33986359
207	MBH049	UHGG	23390877	31257774
208	MHH380	UHGG	16501085	26454613
209	MHS138	UHGG	12972919	20873385
210	MHH566	UHGG	12234750	21508996
211	MBS1115	UHGG	12174729	17641718
212	MHH564	UHGG	8327167	13442942
213	MHH344	UHGG	14618362	21304270
214	MHH265	UHGG	30630527	44466779
215	MHS136	UHGG	10199944	16627755
216	MHH573	UHGG	17639001	30098237
217	MHH596	UHGG	10594439	22019226
218	MHH563	UHGG	7572620	13135287
219	MBS1168	UHGG	9106106	13157598
220	MHH256	UHGG	14176920	22146722
221	MBS1121	UHGG	18263657	26942219
222	MBH060	UHGG	27426524	36410361
223	MHH623	UHGG	12959014	21316455
