	Subject	Database	Classified
402	fam0509-F1-V07	Kraken standard	58.97
403	fam0528-F1-V06	Kraken standard	50.41
404	fam0504-F2-V04	Kraken standard	56.47
405	fam0504-F2-V08	Kraken standard	70.45
406	fam0506-F1-V06	Kraken standard	47.95
407	fam0511-F1-V06	Kraken standard	66.57
408	fam0457-F2-V06	Kraken standard	63.17
409	fam0507-F2-V06	Kraken standard	62.05
410	fam1665-F1-V03	Kraken standard	25.659999999999997
411	fam0504-F3-V07	Kraken standard	59.56
412	fam0502-F1-V06	Kraken standard	84.97
413	fam0509-F1-V09	Kraken standard	73.22
414	fam0511-F1-V04	Kraken standard	69.24
415	fam0507-F2-V04	Kraken standard	59.25
416	fam0528-F1-V08	Kraken standard	50.39
417	fam0506-F1-V04	Kraken standard	57.04
418	fam0528-F1-V04	Kraken standard	76.58
419	fam0504-F2-V06	Kraken standard	73.98
420	fam0506-F1-V08	Kraken standard	57.04
421	fam0511-F1-V08	Kraken standard	69.07
422	fam0509-F1-V05	Kraken standard	64.28999999999999
423	fam0507-F2-V08	Kraken standard	62.08
424	fam0502-F1-V04	Kraken standard	69.76
425	fam0504-F3-V09	Kraken standard	67.34
426	fam0504-F3-V05	Kraken standard	77.52
427	fam0502-F1-V08	Kraken standard	71.82
428	fam1664-F1-V04	Kraken standard	78.85
429	fam0511-F2-V01	Kraken standard	66.3
430	fam0507-F1-V01	Kraken standard	27.620000000000005
431	fam0504-F1-V03	Kraken standard	74.2
0	fam0525-F1-V09	UHGG	91.76
1	fam0509-F2-V05	UHGG	92.57
2	fam0504-F1-V03	UHGG	92.83
3	fam0507-F2-V08	UHGG	90.38
4	fam0504-F1-V10	UHGG	90.88
5	fam0511-F1-V08	UHGG	90.02
6	fam0504-F1-V07	UHGG	92.2
7	fam0502-F1-V11	UHGG	94.11
8	fam1664-F1-V06	UHGG	90.93
9	fam0507-F1-V02	UHGG	91.03999999999999
10	fam0511-F2-V02	UHGG	91.92
11	fam0502-F1-V02	UHGG	86.78999999999999
12	fam0507-F1-V06	UHGG	89.72
13	fam1664-F1-V02	UHGG	91.91
14	fam0507-F1-V11	UHGG	89.42
15	fam0528-F1-V05	UHGG	91.38
16	fam0504-F2-V09	UHGG	91.32
17	fam0511-F2-V06	UHGG	92.11
18	fam0502-F1-V05	UHGG	92.9
19	fam0507-F1-V01	UHGG	91.62
20	fam1664-F1-V05	UHGG	91.45
21	fam0509-F1-V08	UHGG	92.21
22	fam0528-F1-V02	UHGG	91.15
23	fam0511-F2-V01	UHGG	92.33
24	fam1664-F1-V01	UHGG	92.04
25	fam0507-F1-V05	UHGG	90.31
26	fam0511-F2-V05	UHGG	91.19
27	fam0457-F2-V07	UHGG	91.75
28	fam0528-F1-V06	UHGG	91.16
29	fam0509-F2-V06	UHGG	85.64
30	fam0504-F1-V00	UHGG	91.88
31	fam0504-F1-V04	UHGG	92.81
32	fam0504-F3-V09	UHGG	90.14
33	fam0506-F1-V08	UHGG	91.22
34	fam0507-F2-V01	UHGG	90.62
35	fam0509-F2-V08	UHGG	88.45
36	fam0525-F1-V04	UHGG	92.01
37	fam1665-F1-V06	UHGG	90.53
38	fam0506-F1-V02	UHGG	91.05
39	fam0504-F3-V03	UHGG	89.06
40	fam0511-F1-V01	UHGG	91.53999999999999
41	fam0507-F2-V05	UHGG	91.62
42	fam0457-F1-V07	UHGG	89.26
43	fam0506-F1-V11	UHGG	89.91
44	fam0511-F1-V05	UHGG	90.62
45	fam0504-F3-V10	UHGG	89.58
46	fam0504-F3-V07	UHGG	90.65
47	fam0506-F1-V06	UHGG	91.38
48	fam1665-F1-V02	UHGG	89.02
49	fam0509-F1-V06	UHGG	89.86
50	fam0509-F1-V02	UHGG	92.67
51	fam0504-F2-V04	UHGG	91.56
52	fam0528-F1-V08	UHGG	86.95
53	fam0509-F1-V05	UHGG	91.0
54	fam0502-F1-V08	UHGG	92.93
55	fam0504-F2-V03	UHGG	92.42
56	fam0507-F1-V08	UHGG	90.09
57	fam0509-F1-V01	UHGG	88.08
58	fam0504-F2-V10	UHGG	90.5
59	fam0504-F2-V07	UHGG	92.44
60	fam0511-F2-V08	UHGG	92.34
61	fam0525-F1-V07	UHGG	90.1
62	fam0507-F2-V02	UHGG	89.71000000000001
63	fam0511-F1-V02	UHGG	90.52
64	fam0506-F1-V01	UHGG	90.87
65	fam0507-F2-V06	UHGG	88.49
66	fam0525-F1-V03	UHGG	91.62
67	fam0507-F2-V11	UHGG	91.31
68	fam0506-F1-V05	UHGG	92.34
69	fam0504-F3-V04	UHGG	91.01
70	fam0511-F1-V06	UHGG	90.67
71	fam0504-F1-V09	UHGG	91.41
72	fam0504-F2-V06	UHGG	93.0
73	fam0511-F2-V09	UHGG	89.99
74	fam0509-F1-V00	UHGG	91.53
75	fam0507-F1-V09	UHGG	89.47
76	fam0504-F2-V02	UHGG	92.55
77	fam0502-F1-V09	UHGG	92.5
78	fam0511-F1-V07	UHGG	90.43
79	fam0504-F1-V08	UHGG	92.26
80	fam0457-F1-V05	UHGG	89.8
81	fam0506-F1-V04	UHGG	91.55
82	fam0511-F1-V10	UHGG	89.56
83	fam0504-F3-V05	UHGG	89.53
84	fam0507-F2-V10	UHGG	90.75
85	fam0507-F2-V07	UHGG	90.45
86	fam0504-F3-V01	UHGG	90.1
87	fam0511-F1-V03	UHGG	89.42
88	fam0507-F2-V03	UHGG	93.01
89	fam0525-F1-V06	UHGG	91.31
90	fam0504-F3-V06	UHGG	90.39
91	fam1665-F1-V03	UHGG	90.43
92	fam0506-F1-V07	UHGG	91.68
93	fam0506-F1-V10	UHGG	88.42
94	fam0457-F1-V06	UHGG	90.36
95	fam0511-F1-V04	UHGG	89.84
96	fam0507-F2-V04	UHGG	91.2
97	fam1665-F1-V07	UHGG	91.06
98	fam0504-F3-V02	UHGG	89.49
99	fam0525-F1-V05	UHGG	89.06
100	fam0509-F2-V09	UHGG	75.77
101	fam0528-F1-V09	UHGG	89.63
102	fam0504-F2-V05	UHGG	92.58
103	fam0509-F1-V03	UHGG	91.5
104	fam0504-F2-V01	UHGG	91.44
105	fam0509-F1-V07	UHGG	90.74
106	fam0509-F1-V10	UHGG	92.27
107	fam0511-F2-V04	UHGG	92.72
108	fam0528-F1-V07	UHGG	92.28
109	fam0457-F2-V06	UHGG	91.9
110	fam0502-F1-V00	UHGG	93.07
111	fam0507-F1-V04	UHGG	90.81
112	fam1664-F1-V00	UHGG	92.02
113	fam0528-F1-V03	UHGG	92.84
114	fam0509-F1-V09	UHGG	91.45
